classcode,species_definition,campus,method,survey_year,year,month,day,site,zone,transect,count,size,disease,depth,observer,notes,site_name_old
LEPCHI,Leptogorgia chilensis,UCSB,SBTL_SWATH_PISCO,2016,2016,7,25,SCI_SCORPION_W,MID,2,1,,,7.3,KATIE DAVIS,,
LEPCHI,Leptogorgia chilensis,UCSB,SBTL_SWATH_PISCO,2016,2016,7,25,SCI_SCORPION_W,OUTER,1,11,,,8.9,KEEGAN BELL,,
LEPCHI,Leptogorgia chilensis,UCSB,SBTL_SWATH_PISCO,2016,2016,7,25,SCI_SCORPION_W,OUTER,2,13,,,10.6,KATIE DAVIS,,
MURCAL,Muricea californica,UCSB,SBTL_SWATH_PISCO,2016,2016,7,25,SCI_SCORPION_W,OUTER,2,3,,,10.7,KATIE DAVIS,,
LEPCHI,Leptogorgia chilensis,UCSB,SBTL_SWATH_PISCO,2016,2016,8,10,SRI_JOHNSONS_LEE_SOUTH_E,MID,1,3,,,13.2,KATIE DAVIS,,
LEPCHI,Leptogorgia chilensis,UCSB,SBTL_SWATH_PISCO,2016,2016,8,10,SRI_JOHNSONS_LEE_SOUTH_E,MID,2,2,,,12.5,KEEGAN BELL,,
LEPCHI,Leptogorgia chilensis,UCSB,SBTL_SWATH_PISCO,2016,2016,6,29,SRI_SOUTH_POINT_W,OUTER,1,2,,,15.2,AVREY PARSONS-FIELD,,
MURCAL,Muricea californica,UCSB,SBTL_SWATH_PISCO,2017,2017,6,29,ANACAPA_EAST_ISLE_W,INNER,1,1,,,4.9,AVREY PARSONS-FIELD,,
LEPCHI,Leptogorgia chilensis,UCSB,SBTL_SWATH_PISCO,2017,2017,6,27,ANACAPA_LIGHTHOUSE_REEF_CEN,OUTER,1,1,,,9.5,AVREY PARSONS-FIELD,,
MURCAL,Muricea californica,UCSB,SBTL_SWATH_PISCO,2017,2017,6,27,ANACAPA_LIGHTHOUSE_REEF_CEN,OUTER,1,15,,,8.8,AVREY PARSONS-FIELD,,
MURCAL,Muricea californica,UCSB,SBTL_SWATH_PISCO,2017,2017,6,27,ANACAPA_LIGHTHOUSE_REEF_CEN,OUTER,2,13,,,10.7,KEEGAN BELL,,
MURCAL,Muricea californica,UCSB,SBTL_SWATH_PISCO,2017,2017,6,27,ANACAPA_LIGHTHOUSE_REEF_E,OUTER,1,4,,,9.1,KEEGAN BELL,,
LEPCHI,Leptogorgia chilensis,UCSB,SBTL_SWATH_PISCO,2017,2017,6,27,ANACAPA_LIGHTHOUSE_REEF_W,OUTER,2,1,,,9.1,KEEGAN BELL,,
MURCAL,Muricea californica,UCSB,SBTL_SWATH_PISCO,2017,2017,6,27,ANACAPA_LIGHTHOUSE_REEF_W,OUTER,1,2,,,8.8,AVREY PARSONS-FIELD,,
MURCAL,Muricea californica,UCSB,SBTL_SWATH_PISCO,2017,2017,6,27,ANACAPA_LIGHTHOUSE_REEF_W,OUTER,2,2,,,10.7,KEEGAN BELL,,
MURCAL,Muricea californica,UCSB,SBTL_SWATH_PISCO,2017,2017,7,17,ANACAPA_LIGHTHOUSE_REEF_W,INNER,1,1,,,6.1,KEEGAN BELL,,
MURCAL,Muricea californica,UCSB,SBTL_SWATH_PISCO,2017,2017,7,11,ANACAPA_MIDDLE_ISLE_CEN,OUTER,2,2,,,13.2,CHRIS HONEYMAN,,
EUGRUB,Eugorgia rubens,UCSB,SBTL_SWATH_PISCO,2017,2017,7,17,ANACAPA_WEST_ISLE_CEN,OUTER,1,11,,,12.2,AVREY PARSONS-FIELD,SMALL ~5CM,
EUGRUB,Eugorgia rubens,UCSB,SBTL_SWATH_PISCO,2017,2017,7,17,ANACAPA_WEST_ISLE_CEN,OUTER,2,3,,,11.2,KEEGAN BELL,,
LEPCHI,Leptogorgia chilensis,UCSB,SBTL_SWATH_PISCO,2017,2017,7,17,ANACAPA_WEST_ISLE_CEN,OUTER,2,1,,,10.7,KEEGAN BELL,,
MURCAL,Muricea californica,UCSB,SBTL_SWATH_PISCO,2017,2017,7,17,ANACAPA_WEST_ISLE_CEN,OUTER,1,2,,,12.2,AVREY PARSONS-FIELD,,
LEPCHI,Leptogorgia chilensis,UCSB,SBTL_SWATH_PISCO,2017,2017,7,17,ANACAPA_WEST_ISLE_E,OUTER,2,1,,,10.4,KEEGAN BELL,,
MURCAL,Muricea californica,UCSB,SBTL_SWATH_PISCO,2017,2017,7,17,ANACAPA_WEST_ISLE_E,OUTER,1,1,,,10.4,AVREY PARSONS-FIELD,,
EUGRUB,Eugorgia rubens,UCSB,SBTL_SWATH_PISCO,2017,2017,7,12,ANACAPA_WEST_ISLE_W,OUTER,1,4,,,22.4,CHRIS HONEYMAN,,
EUGRUB,Eugorgia rubens,UCSB,SBTL_SWATH_PISCO,2017,2017,7,12,ANACAPA_WEST_ISLE_W,OUTER,2,12,,,21.1,AVREY PARSONS-FIELD,,
LEPCHI,Leptogorgia chilensis,UCSB,SBTL_SWATH_PISCO,2017,2017,7,12,ANACAPA_WEST_ISLE_W,OUTER,1,2,,,22.9,CHRIS HONEYMAN,,
LEPCHI,Leptogorgia chilensis,UCSB,SBTL_SWATH_PISCO,2017,2017,7,12,ANACAPA_WEST_ISLE_W,OUTER,2,10,,,21.1,AVREY PARSONS-FIELD,,
