site,zone,depth
CYPRESS_PT_DC,INNER,5.4
CYPRESS_PT_DC,OUTER,19.6
POINT_ARENA_REFERENCE_3,INNER,4.4
SOUTH_WRECK_DC,OUTER,18.6
SOUTH_WRECK_DC,MID,12
ANDREW_MOLERA_DC,MID,13
ANDREW_MOLERA_DC,INNER,6.2
ANDREW_MOLERA_DC,OUTER,19.3
ANDREW_MOLERA_UC,OUTER,18.9
ANDREW_MOLERA_UC,INNER,5
ANDREW_MOLERA_UC,MID,12.3
BIXBY,OUTER,19.2
BIXBY,INNER,5.7
BIXBY,MID,13.2
COOPER,INNER,6.4
FALSE_SUR,OUTER,19.8
FALSE_SUR,MID,12.6
FALSE_SUR,INNER,5.2
SOUTH_WRECK_DC,INNER,5.3
SOUTH_WRECK_UC,INNER,7.7
SOUTH_WRECK_UC,MID,13.3
SOUTH_WRECK_UC,OUTER,19.7
ANACAPA_EAST_FISH_CAMP_CEN,INNER,6.7
ANACAPA_EAST_FISH_CAMP_CEN,OUTER,14.8
ANACAPA_EAST_FISH_CAMP_E,INNER,5.6
ANACAPA_EAST_FISH_CAMP_E,OUTER,12.2
ANACAPA_EAST_FISH_CAMP_W,OUTER,11.8
ANACAPA_EAST_FISH_CAMP_W,INNER,7.1
ANACAPA_WEST_ISLE_W,SPECIALO,14.4
CASPAR_2,INNER,5
CASPAR_2,MID,11.9
CASPAR_2,OUTER,19.8
POINT_CABRILLO_3,INNER,4.3
POINT_CABRILLO_3,MID,10.7
POINT_CABRILLO_3,OUTER,18.3
TEN_MILE_1,INNER,5.5
TEN_MILE_1,MID,12.8
TEN_MILE_1,OUTER,19.5
POINT_CABRILLO_2,INNER,4.7
POINT_CABRILLO_2,MID,12.8
POINT_CABRILLO_2,OUTER,18.7
CASPAR_1,INNER,4.6
CASPAR_1,MID,12.7
CASPAR_1,OUTER,15.8
RUSSIAN_GULCH_1,MID,13.8
RUSSIAN_GULCH_1,OUTER,20.7
RUSSIAN_GULCH_1,INNER,4.2
RUSSIAN_GULCH_3,INNER,3.5
RUSSIAN_GULCH_3,MID,11.4
RUSSIAN_GULCH_3,OUTER,20.5
TRINIDAD_2,INNER,4
TRINIDAD_2,MID,11.6
TRINIDAD_2,OUTER,19.1
TRINIDAD_3,INNER,4.2
TRINIDAD_3,MID,6.1
TRINIDAD_3,OUTER,8.1
PYRAMID_POINT_3,INNER,5.7
PYRAMID_POINT_3,MID,12.2
PYRAMID_POINT_3,OUTER,16.7
PYRAMID_POINT_2,INNER,4
PYRAMID_POINT_2,MID,11.7
PYRAMID_POINT_2,OUTER,17.8
PYRAMID_POINT_1,INNER,7.2
PYRAMID_POINT_1,MID,13.1
